"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","CLOTHING_TYPE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","PED_LOCATION","PED_SIGNAL","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","DRUG_RESULT_CD1","DRUG_RESULT_CD2","DRUG_RESULT_CD3","DRUG_RESULT_CD4","DVR_LIC_STATE"
2006055568,27,"09","","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","M"," ",1,"","","","","PA"
2006039553,18,"00","","","",""," ","2","0","0","0","0","  "," ",1,"1","00","01","M"," ",1,"","","","","PA"
2006115391,32,"00","","","",""," ","1","0","0","0","4","  "," ",3,"1","99","01","M"," ",2,"","","","","VA"
2006104937,22,"99","","","",""," ","0","0","0","0","4","  "," ",1,"1","99","01","M"," ",1,"","","","","PA"
2006103875,52,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M"," ",2,"","","","","PA"
2006065535,43,"99","","","",""," ","0","0","0","0","8","  "," ",1,"1","99","01","F"," ",2,"","","","","VA"
2006092482,76,"99","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M"," ",1,"","","","","PA"
2006079636,2,"00","","","",""," ","0","0","0","0","0","  "," ",2,"2","04","04","F"," ",2,"","","","","NJ"
2006103513,22,"99","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M"," ",1,"","","","","PA"
2007008516,41,"99","","","",""," ","0","1","0","0","0","  "," ",1,"1","99","01","M"," ",1,"","","","","PA"
2006062232,14,"00","","","",""," ","0","0","0","0","9","  "," ",14,"2","99","15","M"," ",2,"","","","","PA"
2006062232,14,"00","","","",""," ","0","0","0","0","8","  "," ",6,"2","99","15","F"," ",2,"","","","","PA"
2006082083,24,"08","02","","",""," ","0","0","0","0","4","  "," ",1,"1","99","01","F"," ",2,"","","","","PA"
2006055447,20,"09","","","",""," ","0","1","0","1","0","  "," ",1,"1","01","01","M"," ",1,"","","","","NJ"
2006081578,41,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M"," ",1,"","","","","PA"
2006081718,30,"99","","","",""," ","1","9","9","9","0","  "," ",1,"1","99","01","F"," ",1,"","","","","PA"
2007006789,99,"99","","","",""," ","0","0","0","0","8","  "," ",2,"2","99","06","M"," ",2,"","","","","PA"
