"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","CLOTHING_TYPE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","PED_LOCATION","PED_SIGNAL","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","DRUG_RESULT_CD1","DRUG_RESULT_CD2","DRUG_RESULT_CD3","DRUG_RESULT_CD4","DVR_LIC_STATE"
2016075524,34,"09","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2016044571,24,"99","","","",""," ","2","0","0","0","0","  "," ",3,"2","99","06","F","N",1,"","","","","PA"
2016019803,31,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M","N",1,"","","","","PA"
2016062846,27,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","00","01","M"," ",2,"","","","","PA"
2016080206,49,"08","02","","",""," ","0","0","0","0","9","  "," ",1,"1","01","01","M","N",2,"","","","","NJ"
2016108626,25,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M","N",1,"","","","","PA"
2016029850,15,"99","","","",""," ","0","0","0","0","0","  "," ",2,"2","99","03","F","N",2,"","","","","PA"
2016055081,28,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","Y",2,"","","","","PA"
2016064026,28,"99","","","",""," ","0","0","0","0","0","  "," ",2,"2","99","03","F","N",1,"","","","","PA"
2016042488,45,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2016019834,46,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","00","01","F","N",1,"","","","","PA"
2016048555,99,"99","","","",""," ","9","0","0","0","9","  "," ",1,"1","99","01","M","N",1,"","","","","  "
2016080766,36,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",3,"","","","","PA"
2016067497,30,"09","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2017023681,99,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M"," ",2,"","","","","ZZ"
2016065617,21,"00","","","",""," ","9","0","0","0","4","  "," ",1,"1","99","01","M","Y",1,"","","","","PA"
2016105950,99,"00","","","",""," ","9","0","0","0","0","  "," ",1,"1","00","01","U"," ",1,"","","","","  "
2016089124,43,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2016013721,21,"00","","","","","9","9","0","0","0","4","01","2",1,"7","00","00","F"," ",2,"","","","","  "
2016046068,30,"99","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M","N",1,"","","","","PA"
2016135658,28,"00","","","","","9","0","0","0","0","8","01","2",1,"7","00","00","M","N",2,"","","","","  "
2016044595,20,"08","02","","",""," ","0","0","0","0","4","  "," ",1,"1","01","01","F"," ",1,"","","","","PA"
2017007787,99,"00","","","",""," ","9","1","0","0","0","  "," ",1,"1","01","01","U"," ",1,"","","","","  "
2016115138,37,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M","N",3,"","","","","PA"
2016080957,18,"00","","","",""," ","0","0","0","0","0","  "," ",8,"2","99","98","M","N",1,"","","","","PA"
2016080753,88,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M","N",1,"","","","","PA"
2016133060,29,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",3,"","","","","PA"
2017021119,99,"99","","","",""," ","0","0","0","0","8","  "," ",3,"2","99","99","M"," ",2,"","","","","PA"
2016032079,32,"08","02","","",""," ","0","0","0","0","3","  "," ",1,"1","01","01","M","N",2,"","","","","PA"
2016052232,40,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","99","01","M"," ",1,"","","","","PA"
2016091251,64,"09","","","",""," ","0","0","0","0","3","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2017005253,61,"99","","","",""," ","9","0","0","0","8","  "," ",1,"1","99","01","M","Y",1,"","","","","PA"
2016041028,62,"00","","","",""," ","0","0","0","0","4","  "," ",1,"1","99","01","F","Y",2,"","","","","PA"
2016040891,65,"99","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M","N",1,"","","","","PA"
2016062788,30,"09","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2016053741,35,"99","","","",""," ","9","9","9","9","8","  "," ",1,"1","99","01","F","Y",1,"","","","","PA"
2016036533,42,"00","","","","","9","0","0","0","0","8","01","2",1,"7","00","00","M","Y",2,"","","","","  "
2016089129,22,"09","","","",""," ","0","1","0","1","0","  "," ",4,"1","03","01","M","N",2,"","","","","PA"
2016026140,59,"99","","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M","N",2,"","","","","PA"
2016133326,41,"09","","","",""," ","0","1","0","1","8","  "," ",2,"1","03","01","M","Y",2,"","","","","PA"
2016013847,32,"00","","","",""," ","0","0","0","0","9","  "," ",2,"2","99","03","M","N",1,"","","","","PA"
2016099518,29,"09","","","",""," ","0","0","0","0","9","  "," ",1,"1","99","01","F","N",2,"","","","","PA"
2017003619,44,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","00","01","M"," ",1,"","","","","PA"
2016058634,19,"08","02","","",""," ","0","0","0","0","8","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2016029779,22,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","99","01","M","N",1,"","","","","PA"
2016092161,8,"99","","","",""," ","0","0","0","0","4","  "," ",5,"2","90","99","F","Y",1,"","","","","PA"
2016040883,38,"00","","","","","9","0","0","0","0","3","01","2",2,"7","00","00","F","Y",2,"","","","","  "
2016065642,12,"00","","","",""," ","0","0","0","0","9","  "," ",2,"2","00","15","F","N",1,"","","","","PA"
2016065642,10,"00","","","",""," ","0","0","0","0","9","  "," ",10,"2","00","15","F","N",1,"","","","","PA"
2016097108,22,"99","","","",""," ","0","1","0","0","0","  "," ",2,"2","99","15","M","N",1,"","","","","PA"
2016062513,24,"99","","","",""," ","0","0","0","0","3","  "," ",2,"2","01","03","F","Y",2,"","","","","PA"
2016013957,15,"99","","","",""," ","0","1","0","1","4","  "," ",2,"2","99","03","M","Y",2,"","","","","PA"
2016013957,32,"00","","","",""," ","0","0","0","0","4","  "," ",6,"2","00","15","M"," ",3,"","","","","PA"
2016062680,21,"99","","","",""," ","0","9","9","9","2","  "," ",1,"1","99","01","F","Y",1,"","","","","PA"
2017010609,26,"08","M","","",""," ","1","0","0","0","0","  "," ",1,"1","99","01","F","N",1,"","","","","PA"
2016028835,41,"09","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2017003565,57,"00","","","",""," ","0","0","0","0","4","  "," ",1,"1","99","01","M","Y",2,"","","","","PA"
2016029935,99,"99","","","",""," ","9","9","9","9","9","  "," ",1,"1","99","01","M","N",1,"","","","","  "
